Stock_IdType,Stock_Id,PriceDate,PriceInstant,PriceCurrency,LastOrMidPrice,Open,High,Low,Close,Volume,AdjustedOpen,AdjustedHigh,AdjustedLow,AdjustedClose,AdjustedVolume,Dividend,SplitFactor,QuoteTimestamp,LastSaleTimestamp,AskSize,AskPrice,BidPrice,BidSize,LastPrice,LastSize,PrevClosePrice,MidPrice
Ticker,C-P-J,2020-02-13,,USD,29.36,29.3,29.38,29.2,29.36,52686,29.3,29.38,29.2,29.36,52686,0,,,,,,,,,,,
Ticker,LZB,2020-02-13,,USD,31.95,31.9,32.435,31.59,31.95,252763,31.9,32.435,31.59,31.95,252763,0,,,,,,,,,,,
Ticker,RLI,2020-02-13,,USD,96.03,95.62,96.38,95.41,96.03,128207,95.62,96.38,95.41,96.03,128207,0,,,,,,,,,,,
Ticker,SXT,2020-02-13,,USD,61.23,60.73,61.55,59.84,61.23,321404,60.73,61.55,59.84,61.23,321404,0,,,,,,,,,,,
Ticker,MHLA,2020-02-13,,USD,21.65,21.73,21.73,21.65,21.65,26136,21.73,21.73,21.65,21.65,26136,0,,,,,,,,,,,
Ticker,TWI,2020-02-13,,USD,2.35,2.53,2.57,2.35,2.35,325004,2.53,2.57,2.35,2.35,325004,0,,,,,,,,,,,
Ticker,KEY,2020-02-13,,USD,19.72,19.61,19.73,19.5,19.72,7548561,19.61,19.73,19.5,19.72,7548561,0,,,,,,,,,,,
Ticker,GGB,2020-02-13,,USD,4.84,4.81,4.905,4.765,4.84,6508049,4.81,4.905,4.765,4.84,6508049,0,,,,,,,,,,,
Ticker,MS-P-A,2020-02-13,,USD,23.9,23.85,23.94,23.77,23.9,130037,23.85,23.94,23.77,23.9,130037,0,,,,,,,,,,,
Ticker,KEN,2020-02-13,,USD,18.86,18.8,18.9,18.58,18.86,1858,18.8,18.9,18.58,18.86,1858,0,,,,,,,,,,,
Ticker,ATV,2020-02-13,,USD,18.711,18.82,18.82,18.711,18.711,422,18.82,18.82,18.711,18.711,422,0,,,,,,,,,,,
Ticker,NAV,2020-02-13,,USD,37.19,37.4,38,37.13,37.19,564524,37.4,38,37.13,37.19,564524,0,,,,,,,,,,,
Ticker,PRIF-P-A,2020-02-13,,USD,25.1,25.1,25.1,25.1,25.1,557,25.1,25.1,25.1,25.1,557,0,,,,,,,,,,,
Ticker,BTU,2020-02-13,,USD,7.77,7.67,7.77,7.45,7.77,1287351,7.67,7.77,7.45,7.77,1287351,0,,,,,,,,,,,
Ticker,DFIN,2020-02-13,,USD,9.93,9.87,9.94,9.67,9.93,154293,9.87,9.94,9.67,9.93,154293,0,,,,,,,,,,,
Ticker,FBHS,2020-02-13,,USD,72.64,72.1,73,71.86,72.64,1129743,72.1,73,71.86,72.64,1129743,0,,,,,,,,,,,
Ticker,JBL,2020-02-13,,USD,39.12,39.38,39.54,38.75,39.12,1137075,39.38,39.54,38.75,39.12,1137075,0.08,,,,,,,,,,,
Ticker,FBK,2020-02-13,,USD,37.24,36.74,37.26,36.74,37.24,79879,36.74,37.26,36.74,37.24,79879,0.09,,,,,,,,,,,
Ticker,TNET,2020-02-13,,USD,50.84,51.15,52.72,50.52,50.84,1065762,51.15,52.72,50.52,50.84,1065762,0,,,,,,,,,,,
Ticker,SIX,2020-02-13,,USD,39.17,38.85,39.2,38.63,39.17,519893,38.85,39.2,38.63,39.17,519893,0,,,,,,,,,,,
Ticker,AZRE,2020-02-13,,USD,13.7,13.3518,13.77,13.18,13.7,11808,13.3518,13.77,13.18,13.7,11808,0,,,,,,,,,,,
Ticker,XOM,2020-02-13,,USD,60.93,61.06,61.4157,60.56,60.93,16947233,61.06,61.4157,60.56,60.93,16947233,0,,,,,,,,,,,
Ticker,HTH,2020-02-13,,USD,22.42,22.26,22.64,22.26,22.42,397550,22.26,22.64,22.26,22.42,397550,0.09,,,,,,,,,,,
Ticker,CLNC,2020-02-13,,USD,13.27,13.34,13.34,13.15,13.27,315571,13.34,13.34,13.15,13.27,315571,0,,,,,,,,,,,
Ticker,GLOG,2020-02-13,,USD,6.19,5.63,6.42,5.6,6.19,2732638,5.63,6.42,5.6,6.19,2732638,0,,,,,,,,,,,
Ticker,GOOGL,2020-02-13,,USD,1513.39,1510,1525.95,1504,1513.39,1145658,1510,1525.95,1504,1513.39,1145658,0,,,,,,,,,,,
Ticker,BFAM,2020-02-13,,USD,173.74,171.4,175,170.42,173.74,329993,171.4,175,170.42,173.74,329993,0,,,,,,,,,,,
Ticker,CNXM,2020-02-13,,USD,14.25,14.41,14.55,14.12,14.25,329010,14.41,14.55,14.12,14.25,329010,0,,,,,,,,,,,
Ticker,LUV,2020-02-13,,USD,58.54,58.06,58.685,57.845,58.54,2401816,58.06,58.685,57.845,58.54,2401816,0,,,,,,,,,,,
Ticker,EAB,2020-02-13,,USD,25.9,25.92,25.92,25.9,25.9,1990,25.92,25.92,25.9,25.9,1990,0,,,,,,,,,,,
