Stock_IdType,Stock_Id,PriceDate,PriceInstant,PriceCurrency,LastOrMidPrice,Open,High,Low,Close,Volume,AdjustedOpen,AdjustedHigh,AdjustedLow,AdjustedClose,AdjustedVolume,Dividend,SplitFactor,QuoteTimestamp,LastSaleTimestamp,AskSize,AskPrice,BidPrice,BidSize,LastPrice,LastSize,PrevClosePrice,MidPrice
Ticker,OBE,2020-02-12,,USD,0.6882,0.6756,0.6882,0.6728,0.6882,75740,0.6756,0.6882,0.6728,0.6882,75740,0,,,,,,,,,,,
Ticker,FET,2020-02-12,,USD,1.06,1.07,1.09,1.02,1.06,568822,1.07,1.09,1.02,1.06,568822,0,,,,,,,,,,,
Ticker,GSS,2020-02-12,,USD,3.01,2.97,3.141,2.94,3.01,266315,2.97,3.141,2.94,3.01,266315,0,,,,,,,,,,,
Ticker,E,2020-02-12,,USD,28.5,28.48,28.62,28.38,28.5,268107,28.48,28.62,28.38,28.5,268107,0,,,,,,,,,,,
Ticker,ATI,2020-02-12,,USD,20.15,19.86,20.405,19.77,20.15,1127649,19.86,20.405,19.77,20.15,1127649,0,,,,,,,,,,,
Ticker,PPL,2020-02-12,,USD,36.28,36.17,36.44,36.12,36.28,2643889,36.17,36.44,36.12,36.28,2643889,0,,,,,,,,,,,
Ticker,ESS,2020-02-12,,USD,319.18,317.93,320.42,316.06,319.18,339319,317.93,320.42,316.06,319.18,339319,0,,,,,,,,,,,
Ticker,FE,2020-02-12,,USD,51.48,51.53,51.75,51.3,51.48,2566092,51.53,51.75,51.3,51.48,2566092,0,,,,,,,,,,,
Ticker,DFIN,2020-02-12,,USD,9.81,9.67,9.84,9.635,9.81,249719,9.67,9.84,9.635,9.81,249719,0,,,,,,,,,,,
Ticker,PHX,2020-02-12,,USD,6.88,7,7.08,6.85,6.88,133561,7,7.08,6.85,6.88,133561,0,,,,,,,,,,,
Ticker,SWI,2020-02-12,,USD,19.18,19.09,19.19,18.6,19.18,389071,19.09,19.19,18.6,19.18,389071,0,,,,,,,,,,,
Ticker,AQN,2020-02-12,,USD,16.12,16,16.17,15.84,16.12,1033246,16,16.17,15.84,16.12,1033246,0,,,,,,,,,,,
Ticker,KEX,2020-02-12,,USD,74.97,75.76,76.13,73.75,74.97,338310,75.76,76.13,73.75,74.97,338310,0,,,,,,,,,,,
Ticker,WW,2020-02-12,,USD,36.86,37.76,38,35.76,36.86,2560533,37.76,38,35.76,36.86,2560533,0,,,,,,,,,,,
Ticker,LNT,2020-02-12,,USD,58.66,58.2,58.79,58.15,58.66,1104092,58.2,58.79,58.15,58.66,1104092,0,,,,,,,,,,,
Ticker,SOGO,2020-02-12,,USD,4.5,4.5,4.52,4.45,4.5,916293,4.5,4.52,4.45,4.5,916293,0,,,,,,,,,,,
Ticker,TRTX,2020-02-12,,USD,20.68,20.6,20.72,20.6,20.68,429543,20.6,20.72,20.6,20.68,429543,0,,,,,,,,,,,
Ticker,MICR,2020-02-12,,USD,3.11,2.86,3.14,2.86,3.11,81991,2.86,3.14,2.86,3.11,81991,0,,,,,,,,,,,
Ticker,UA,2020-02-12,,USD,15.45,15.26,15.895,15.2,15.45,6483425,15.26,15.895,15.2,15.45,6483425,0,,,,,,,,,,,
Ticker,INSW-P-A,2020-02-12,,USD,25.65,25.65,25.65,25.65,25.65,0,25.65,25.65,25.65,25.65,0,0,,,,,,,,,,,
Ticker,AVA,2020-02-12,,USD,51.19,51.32,51.32,50.87,51.19,432604,51.32,51.32,50.87,51.19,432604,0,,,,,,,,,,,
Ticker,AER,2020-02-12,,USD,60.77,60.43,60.91,60.11,60.77,697088,60.43,60.91,60.11,60.77,697088,0,,,,,,,,,,,
Ticker,DCP-P-B,2020-02-12,,USD,24.95,25.04,25.04,24.9479,24.95,10520,25.04,25.04,24.9479,24.95,10520,0,,,,,,,,,,,
Ticker,MOS,2020-02-12,,USD,20.35,20.37,20.65,20.255,20.35,2526233,20.37,20.65,20.255,20.35,2526233,0,,,,,,,,,,,
Ticker,NTP,2020-02-12,,USD,8.7,8.54,8.81,8.54,8.7,58545,8.54,8.81,8.54,8.7,58545,0,,,,,,,,,,,
Ticker,BYD,2020-02-12,,USD,33.5,33.41,33.93,33.22,33.5,849519,33.41,33.93,33.22,33.5,849519,0,,,,,,,,,,,
Ticker,CCI-P-A,2020-02-12,,USD,1437.4,1437.4,1437.4,1437.4,1437.4,1094,1437.4,1437.4,1437.4,1437.4,1094,0,,,,,,,,,,,
Ticker,MDP,2020-02-12,,USD,32.21,31.66,32.54,31.59,32.21,782532,31.66,32.54,31.59,32.21,782532,0,,,,,,,,,,,
Ticker,PG,2020-02-12,,USD,123.45,123.68,123.97,122.85,123.45,6031715,123.68,123.97,122.85,123.45,6031715,0,,,,,,,,,,,
Ticker,TAL,2020-02-12,,USD,59.18,58.83,59.24,57.24,59.18,3777054,58.83,59.24,57.24,59.18,3777054,0,,,,,,,,,,,
Ticker,YUMA,2020-02-12,,USD,3.1785,3.16,3.37,3.11,3.1785,198974,3.16,3.37,3.11,3.1785,198974,0,,,,,,,,,,,
Ticker,IHT,2020-02-12,,USD,1.5,1.5,1.5,1.5,1.5,273,1.5,1.5,1.5,1.5,273,0,,,,,,,,,,,
Ticker,PSA-P-V,2020-02-12,,USD,25.68,25.75,25.75,25.62,25.68,13966,25.75,25.75,25.62,25.68,13966,0,,,,,,,,,,,
Ticker,ENJ,2020-02-12,,USD,26.033,26.033,26.033,26.033,26.033,452,26.033,26.033,26.033,26.033,452,0,,,,,,,,,,,
Ticker,TDOC,2020-02-12,,USD,110,108.19,111.27,106,110,1337492,108.19,111.27,106,110,1337492,0,,,,,,,,,,,
Ticker,SBGL,2020-02-12,,USD,10.17,10.2,10.37,9.95,10.17,3527835,10.2,10.37,9.95,10.17,3527835,0,,,,,,,,,,,
Ticker,HLI,2020-02-12,,USD,57.11,57.24,57.5,56.86,57.11,405470,57.24,57.5,56.86,57.11,405470,0,,,,,,,,,,,
Ticker,GMRE,2020-02-12,,USD,15.29,15.24,15.39,15.04,15.29,226450,15.24,15.39,15.04,15.29,226450,0,,,,,,,,,,,
Ticker,SID,2020-02-12,,USD,2.97,3.02,3.04,2.92,2.97,7391720,3.02,3.04,2.92,2.97,7391720,0,,,,,,,,,,,
Ticker,FNB,2020-02-12,,USD,12.01,12.1,12.16,11.97,12.01,962197,12.1,12.16,11.97,12.01,962197,0,,,,,,,,,,,
Ticker,APTS,2020-02-12,,USD,11.38,11.87,11.885,11.31,11.38,746384,11.87,11.885,11.31,11.38,746384,0,,,,,,,,,,,
Ticker,IDN,2020-02-12,,USD,9.2,9.1,9.58,8.63,9.2,74277,9.1,9.58,8.63,9.2,74277,0,,,,,,,,,,,
Ticker,MGP,2020-02-12,,USD,33.71,33.72,33.85,33.43,33.71,671951,33.72,33.85,33.43,33.71,671951,0,,,,,,,,,,,
Ticker,GIG-WS,2020-02-12,,USD,1.14,1.16,1.165,1.14,1.14,800,1.16,1.165,1.14,1.14,800,0,,,,,,,,,,,
Ticker,ELVT,2020-02-12,,USD,4.25,4.57,4.62,4.21,4.25,334814,4.57,4.62,4.21,4.25,334814,0,,,,,,,,,,,
Ticker,KWR,2020-02-12,,USD,183.43,180.82,184.02,180.82,183.43,123770,180.82,184.02,180.82,183.43,123770,0,,,,,,,,,,,
Ticker,AVH,2020-02-12,,USD,4.94,4.82,4.99,4.82,4.94,163656,4.82,4.99,4.82,4.94,163656,0,,,,,,,,,,,
Ticker,SNN,2020-02-12,,USD,47.81,47.62,48.025,47.37,47.81,561209,47.62,48.025,47.37,47.81,561209,0,,,,,,,,,,,
Ticker,BHR,2020-02-12,,USD,8.31,8.25,8.36,8.23,8.31,153337,8.25,8.36,8.23,8.31,153337,0,,,,,,,,,,,
Ticker,TEL,2020-02-12,,USD,94.92,94.39,94.97,93.6871,94.92,1971630,94.39,94.97,93.6871,94.92,1971630,0,,,,,,,,,,,
Ticker,RESI,2020-02-12,,USD,11.14,11.14,11.21,11,11.14,126757,11.14,11.21,11,11.14,126757,0,,,,,,,,,,,
Ticker,FRT-P-C,2020-02-12,,USD,26.48,26.41,26.6581,26.41,26.48,2182,26.41,26.6581,26.41,26.48,2182,0,,,,,,,,,,,
Ticker,AAMC,2020-02-12,,USD,12.88,12.84,12.98,12.775,12.88,16861,12.84,12.98,12.775,12.88,16861,0,,,,,,,,,,,
Ticker,CMO-P-E,2020-02-12,,USD,25.6,25.46,25.6,25.46,25.6,11184,25.46,25.6,25.46,25.6,11184,0,,,,,,,,,,,
Ticker,MAC,2020-02-12,,USD,23.24,24.21,24.46,23.16,23.24,5859752,24.21,24.46,23.16,23.24,5859752,0,,,,,,,,,,,
Ticker,EGP,2020-02-12,,USD,140.38,140.28,141.2,139.105,140.38,119677,140.28,141.2,139.105,140.38,119677,0,,,,,,,,,,,
Ticker,HOME,2020-02-12,,USD,6.59,6.25,6.6,6.12,6.59,1741555,6.25,6.6,6.12,6.59,1741555,0,,,,,,,,,,,
Ticker,BLL,2020-02-12,,USD,76.53,77.03,77.37,75.51,76.53,1769295,77.03,77.37,75.51,76.53,1769295,0,,,,,,,,,,,
Ticker,HRL,2020-02-12,,USD,47.76,47.48,47.85,47.37,47.76,1397147,47.48,47.85,47.37,47.76,1397147,0,,,,,,,,,,,
Ticker,MTW,2020-02-12,,USD,12.97,12.86,13.175,12.77,12.97,781516,12.86,13.175,12.77,12.97,781516,0,,,,,,,,,,,
Ticker,EZT,2020-02-12,,USD,27.9,28.11,28.11,27.9,27.9,3863,28.11,28.11,27.9,27.9,3863,0,,,,,,,,,,,
Ticker,JBN,2020-02-12,,USD,5.9927,5.7888,6,5.7888,5.9927,7105,5.7888,6,5.7888,5.9927,7105,0,,,,,,,,,,,
Ticker,NWHM,2020-02-12,,USD,5.66,5.59,5.684,5.55,5.66,57656,5.59,5.684,5.55,5.66,57656,0,,,,,,,,,,,
Ticker,RH,2020-02-12,,USD,241.53,237,241.98,236.52,241.53,992090,237,241.98,236.52,241.53,992090,0,,,,,,,,,,,
Ticker,XRF,2020-02-12,,USD,1.71,1.78,1.78,1.6985,1.71,7648,1.78,1.78,1.6985,1.71,7648,0,,,,,,,,,,,
Ticker,OSK,2020-02-12,,USD,85.49,85.14,85.57,83.62,85.49,1125818,84.8411932615817,85.2696841366402,83.3265278427702,85.1899649040711,1125818,0,,,,,,,,,,,
Ticker,FTNW,2020-02-12,,USD,1.5,1.5,1.5,1.5,1.5,0,1.5,1.5,1.5,1.5,0,0,,,,,,,,,,,
Ticker,SRI,2020-02-12,,USD,29.83,29.47,29.94,29.38,29.83,161463,29.47,29.94,29.38,29.83,161463,0,,,,,,,,,,,
Ticker,SUPV,2020-02-12,,USD,3,2.99,3.06,2.98,3,604602,2.99,3.06,2.98,3,604602,0,,,,,,,,,,,
Ticker,WSM,2020-02-12,,USD,74.48,73.38,74.53,72.7668,74.48,782883,73.38,74.53,72.7668,74.48,782883,0,,,,,,,,,,,
Ticker,MATX,2020-02-12,,USD,36.73,37.1,37.17,36.68,36.73,112242,37.1,37.17,36.68,36.73,112242,0,,,,,,,,,,,
Ticker,CX,2020-02-12,,USD,4.12,4.16,4.18,4.04,4.12,22521241,4.16,4.18,4.04,4.12,22521241,0,,,,,,,,,,,
Ticker,HAE,2020-02-12,,USD,118.3,118.71,119.63,116.97,118.3,594517,118.71,119.63,116.97,118.3,594517,0,,,,,,,,,,,
Ticker,STWD,2020-02-12,,USD,25.87,25.71,26,25.7055,25.87,1219356,25.71,26,25.7055,25.87,1219356,0,,,,,,,,,,,
Ticker,NBHC,2020-02-12,,USD,33.27,33.33,33.41,33.02,33.27,93629,33.33,33.41,33.02,33.27,93629,0,,,,,,,,,,,
Ticker,PRE-P-I,2020-02-12,,USD,26.61,26.87,26.87,26.61,26.61,5860,26.87,26.87,26.61,26.61,5860,0,,,,,,,,,,,
Ticker,UHT,2020-02-12,,USD,127.21,126.68,128.02,124.715,127.21,34179,126.68,128.02,124.715,127.21,34179,0,,,,,,,,,,,
Ticker,RPAI,2020-02-12,,USD,12.34,12.41,12.41,12.26,12.34,1206457,12.41,12.41,12.26,12.34,1206457,0,,,,,,,,,,,
Ticker,LPX,2020-02-12,,USD,33.79,33.3,34.18,33.3,33.79,2218385,33.1593299344501,34.0356125273125,33.1593299344501,33.6472600145666,2218385,0,,,,,,,,,,,
Ticker,ALEX,2020-02-12,,USD,23.03,23.1,23.32,22.94,23.03,14451493,23.1,23.32,22.94,23.03,14451493,0,,,,,,,,,,,
Ticker,LOMA,2020-02-12,,USD,6.77,6.77,6.89,6.66,6.77,173797,6.77,6.89,6.66,6.77,173797,0,,,,,,,,,,,
Ticker,BSBR,2020-02-12,,USD,9.76,9.79,9.87,9.7112,9.76,1726298,9.79,9.87,9.7112,9.76,1726298,0,,,,,,,,,,,
Ticker,NEU,2020-02-12,,USD,416.66,419.87,422.905,415.11,416.66,45727,419.87,422.905,415.11,416.66,45727,0,,,,,,,,,,,
Ticker,NVGS,2020-02-12,,USD,11.98,11.76,12.02,11.66,11.98,95535,11.76,12.02,11.66,11.98,95535,0,,,,,,,,,,,
Ticker,AXS,2020-02-12,,USD,64.36,65.08,65.22,64.1328,64.36,344859,65.08,65.22,64.1328,64.36,344859,0,,,,,,,,,,,
Ticker,UUUU,2020-02-12,,USD,1.72,1.75,1.78,1.67,1.72,1152995,1.75,1.78,1.67,1.72,1152995,0,,,,,,,,,,,
Ticker,GS,2020-02-12,,USD,238.65,238.01,241.18,237.72,238.65,2119117,238.01,241.18,237.72,238.65,2119117,0,,,,,,,,,,,
Ticker,MUR,2020-02-12,,USD,22.61,22.54,22.86,22.22,22.61,2144990,22.2874226804124,22.6038368444644,21.9710085163604,22.3566382787987,2144990,0,,,,,,,,,,,
Ticker,LNC,2020-02-12,,USD,60.98,61.08,61.79,60.86,60.98,1690742,61.08,61.79,60.86,60.98,1690742,0,,,,,,,,,,,
Ticker,PVG,2020-02-12,,USD,7.55,7.72,8.23,7.43,7.55,9030015,7.72,8.23,7.43,7.55,9030015,0,,,,,,,,,,,
Ticker,NRP,2020-02-12,,USD,17.92,19.71,19.75,17.56,17.92,79960,19.71,19.75,17.56,17.92,79960,0,,,,,,,,,,,
Ticker,NVR,2020-02-12,,USD,3976.78,3968.56,3997.9,3857.9,3976.78,27154,3968.56,3997.9,3857.9,3976.78,27154,0,,,,,,,,,,,
Ticker,RBA,2020-02-12,,USD,42.93,43.17,43.17,42.62,42.93,247066,42.9691158678455,42.9691158678455,42.4216751977664,42.7302326663564,247066,0,,,,,,,,,,,
Ticker,CME,2020-02-12,,USD,207.64,208.1,210,204.01,207.64,2374361,208.1,210,204.01,207.64,2374361,0,,,,,,,,,,,
Ticker,GGG,2020-02-12,,USD,56.28,56.25,56.35,55.69,56.28,615230,56.25,56.35,55.69,56.28,615230,0,,,,,,,,,,,
Ticker,CNO,2020-02-12,,USD,19.54,19.44,20.93,19.23,19.54,2913680,19.44,20.93,19.23,19.54,2913680,0,,,,,,,,,,,
Ticker,EMAN,2020-02-12,,USD,0.4678,0.5,0.5,0.4254,0.4678,341554,0.5,0.5,0.4254,0.4678,341554,0,,,,,,,,,,,
Ticker,JEC,2020-02-12,,USD,99.26,98.13,99.46,97.89,99.26,911678,98.13,99.46,97.89,99.26,911678,0,,,,,,,,,,,
Ticker,AKG,2020-02-12,,USD,0.9024,0.91,0.9228,0.9002,0.9024,96852,0.91,0.9228,0.9002,0.9024,96852,0,,,,,,,,,,,
Ticker,CSV,2020-02-12,,USD,24.41,24.77,24.77,24.31,24.41,51950,24.77,24.77,24.31,24.41,51950,0,,,,,,,,,,,
Ticker,PSB,2020-02-12,,USD,170.03,171.06,171.72,169.275,170.03,97294,171.06,171.72,169.275,170.03,97294,0,,,,,,,,,,,
Ticker,BTE,2020-02-12,,USD,1.09,1.07,1.11,1.0643,1.09,2445375,1.07,1.11,1.0643,1.09,2445375,0,,,,,,,,,,,
Ticker,ARL,2020-02-12,,USD,14.4,14.4,14.4,14.4,14.4,477,14.4,14.4,14.4,14.4,477,0,,,,,,,,,,,
Ticker,ENV,2020-02-12,,USD,83.43,82.63,83.96,82.02,83.43,398534,82.63,83.96,82.02,83.43,398534,0,,,,,,,,,,,
Ticker,WPG-P-I,2020-02-12,,USD,18.34,18.33,18.7184,18.25,18.34,8695,18.33,18.7184,18.25,18.34,8695,0,,,,,,,,,,,
Ticker,LOV,2020-02-12,,USD,5.68,5.99,6.0499,5.4527,5.68,110272,5.99,6.0499,5.4527,5.68,110272,0,,,,,,,,,,,
Ticker,STZ-B,2020-02-12,,USD,199.2091,199.1212,199.2091,199.1212,199.2091,461,199.1212,199.2091,199.1212,199.2091,461,0,,,,,,,,,,,
Ticker,CTEK,2020-02-12,,USD,3.57,3.61,3.61,3.542,3.57,2002,3.61,3.61,3.542,3.57,2002,0,,,,,,,,,,,
Ticker,CCK,2020-02-12,,USD,78.87,79.52,79.85,77.94,78.87,1088367,79.52,79.85,77.94,78.87,1088367,0,,,,,,,,,,,
Ticker,SIG,2020-02-12,,USD,26.93,25.77,27.22,25.7618,26.93,1537981,25.77,27.22,25.7618,26.93,1537981,0,,,,,,,,,,,
Ticker,GKOS,2020-02-12,,USD,69.81,67.09,70.25,66.26,69.81,527690,67.09,70.25,66.26,69.81,527690,0,,,,,,,,,,,
Ticker,CBX,2020-02-12,,USD,1.4,1.4,1.4,1.4,1.4,0,1.4,1.4,1.4,1.4,0,0,,,,,,,,,,,
Ticker,INN,2020-02-12,,USD,11.95,11.8,11.96,11.755,11.95,754824,11.6192340425532,11.7767829787234,11.5749234042553,11.7669361702128,754824,0,,,,,,,,,,,
Ticker,VALE,2020-02-12,,USD,12.12,12.2,12.22,12.12,12.12,24756278,12.2,12.22,12.12,12.12,24756278,0,,,,,,,,,,,
Ticker,IP,2020-02-12,,USD,44.5,44.57,44.98,44.46,44.5,1763623,44.57,44.98,44.46,44.5,1763623,0,,,,,,,,,,,
Ticker,KMPR,2020-02-12,,USD,79.5,79.53,80.22,79.32,79.5,311593,79.2326174747601,79.9200373924966,79.0234027171881,79.2027296522498,311593,0,,,,,,,,,,,
Ticker,TRNO,2020-02-12,,USD,60.4,59.86,60.43,59.55,60.4,297158,59.86,60.43,59.55,60.4,297158,0,,,,,,,,,,,
Ticker,CEO,2020-02-12,,USD,162.5,161.7,162.89,160.96,162.5,138580,161.7,162.89,160.96,162.5,138580,0,,,,,,,,,,,
Ticker,KTH,2020-02-12,,USD,33.4342,32.38,33.5,32.38,33.4342,2881,32.38,33.5,32.38,33.4342,2881,0,,,,,,,,,,,
Ticker,MCY,2020-02-12,,USD,51.1,51.69,51.69,50.711,51.1,223396,51.69,51.69,50.711,51.1,223396,0,,,,,,,,,,,
Ticker,SXT,2020-02-12,,USD,61.08,61.43,61.7,60.995,61.08,193061,61.43,61.7,60.995,61.08,193061,0,,,,,,,,,,,
Ticker,KN,2020-02-12,,USD,17.35,17.19,17.37,17,17.35,755776,17.19,17.37,17,17.35,755776,0,,,,,,,,,,,
Ticker,TDG,2020-02-12,,USD,650.23,650.11,651.59,638.99,650.23,286270,650.11,651.59,638.99,650.23,286270,0,,,,,,,,,,,
Ticker,SCL,2020-02-12,,USD,102.92,103.07,103.71,102.4235,102.92,67480,103.07,103.71,102.4235,102.92,67480,0,,,,,,,,,,,
Ticker,BKE,2020-02-12,,USD,26.61,26.19,26.765,26.1,26.61,672485,26.19,26.765,26.1,26.61,672485,0,,,,,,,,,,,
Ticker,TGC,2020-02-12,,USD,0.565,0.6,0.6173,0.565,0.565,5464,0.6,0.6173,0.565,0.565,5464,0,,,,,,,,,,,
Ticker,RE,2020-02-12,,USD,287.68,291.96,291.96,284.91,287.68,243346,291.96,291.96,284.91,287.68,243346,0,,,,,,,,,,,
Ticker,QSR,2020-02-12,,USD,66.22,66.61,66.66,65.93,66.22,1832273,66.61,66.66,65.93,66.22,1832273,0,,,,,,,,,,,
Ticker,HMLP-P-A,2020-02-12,,USD,25.9623,25.97,26.0419,25.9,25.9623,13875,25.97,26.0419,25.9,25.9623,13875,0,,,,,,,,,,,
Ticker,ETR,2020-02-12,,USD,131.56,131.28,132.185,130.56,131.56,915702,131.28,132.185,130.56,131.56,915702,0.93,,,,,,,,,,,
Ticker,WWW,2020-02-12,,USD,32.39,31.82,32.56,31.719,32.39,317714,31.82,32.56,31.719,32.39,317714,0,,,,,,,,,,,
Ticker,ST,2020-02-12,,USD,49.79,49.71,50.33,48.8,49.79,2015123,49.71,50.33,48.8,49.79,2015123,0,,,,,,,,,,,
Ticker,AMRC,2020-02-12,,USD,21.71,20.6,21.72,20.5,21.71,272124,20.6,21.72,20.5,21.71,272124,0,,,,,,,,,,,
Ticker,SFL,2020-02-12,,USD,13.37,13.41,13.58,13.36,13.37,803495,13.41,13.58,13.36,13.37,803495,0,,,,,,,,,,,
Ticker,TEVA,2020-02-12,,USD,13.45,13.09,13.76,13.06,13.45,66524368,13.09,13.76,13.06,13.45,66524368,0,,,,,,,,,,,
Ticker,PSTG,2020-02-12,,USD,19.74,19.05,19.75,19.05,19.74,2266387,19.05,19.75,19.05,19.74,2266387,0,,,,,,,,,,,
Ticker,NPO,2020-02-12,,USD,59.57,60.1,60.1,59.14,59.57,56062,60.1,60.1,59.14,59.57,56062,0,,,,,,,,,,,
Ticker,SNX,2020-02-12,,USD,144.16,142.63,144.23,141.22,144.16,315056,142.63,144.23,141.22,144.16,315056,0,,,,,,,,,,,
Ticker,TEO,2020-02-12,,USD,11.8,11.44,11.8872,11.39,11.8,86059,11.44,11.8872,11.39,11.8,86059,0,,,,,,,,,,,
Ticker,IPHI,2020-02-12,,USD,83.94,83.91,84.68,83.18,83.94,277482,83.91,84.68,83.18,83.94,277482,0,,,,,,,,,,,
Ticker,BAC-P-B,2020-02-12,,USD,27.6,27.73,27.73,27.6,27.6,123000,27.73,27.73,27.6,27.6,123000,0,,,,,,,,,,,
Ticker,OMC,2020-02-12,,USD,78.85,78,79.29,77.45,78.85,2650768,78,79.29,77.45,78.85,2650768,0,,,,,,,,,,,
Ticker,TALO,2020-02-12,,USD,18.49,18.39,18.885,18.04,18.49,309635,18.39,18.885,18.04,18.49,309635,0,,,,,,,,,,,
Ticker,NGD,2020-02-12,,USD,0.8525,0.8733,0.8798,0.85,0.8525,2329767,0.8733,0.8798,0.85,0.8525,2329767,0,,,,,,,,,,,
Ticker,BOOT,2020-02-12,,USD,34.48,33.3,34.72,33.07,34.48,1464858,33.3,34.72,33.07,34.48,1464858,0,,,,,,,,,,,
Ticker,WTTR,2020-02-12,,USD,7.19,7.21,7.43,7.145,7.19,296305,7.21,7.43,7.145,7.19,296305,0,,,,,,,,,,,
